system_id,receptor_name,g_protein_family,pocket_id,n_voxels,mean_freq,is_orthosteric,is_peptide_proximal,peptide_control,peptide_site_recovered,best_peptide_site_freq,location,zone_public_label,receptor_generic_numbers,pocket_record_status,pocket_record_reason,schema_version
G12_7T6B,Sphingosine 1-phosphate receptor 2,G12-13,9.0,9.0,0.86,False,,False,,,receptor,membrane-facing,4.44x44;4.45x45;4.48x48;4.49x49,available_detected_pocket,,1.1
G12_7T6B,Sphingosine 1-phosphate receptor 2,G12-13,8.0,4.0,0.855,False,,False,,,receptor,intracellular/transducer interface,4.41x41,available_detected_pocket,,1.1
G12_8IKL,Adhesion G protein-coupled receptor E5,G12-13,1.0,601.0,0.945,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
G12_8IKL,Adhesion G protein-coupled receptor E5,G12-13,5.0,155.0,0.928,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
G12_8IKL,Adhesion G protein-coupled receptor E5,G12-13,12.0,121.0,0.905,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
G12_8IKL,Adhesion G protein-coupled receptor E5,G12-13,7.0,69.0,0.901,False,,False,,,receptor,membrane-facing,3.44x44;3.45x45;3.47x47;3.48x48;3.49x49;3.51x51;3.52x52;5.45x45;5.46x46;5.49x49;5.50x50,available_detected_pocket,,1.1
G12_8IKL,Adhesion G protein-coupled receptor E5,G12-13,2.0,57.0,0.894,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
G12_8IKL,Adhesion G protein-coupled receptor E5,G12-13,9.0,56.0,0.89,False,,False,,,receptor,intracellular/transducer interface,1.61x61;2.46x46;2.47x47;2.50x50;6.45x45;6.48x48;7.56x56;7.57x57;7.58x58;8.47x47,available_detected_pocket,,1.1
G12_8IKL,Adhesion G protein-coupled receptor E5,G12-13,4.0,40.0,0.884,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
G12_8IKL,Adhesion G protein-coupled receptor E5,G12-13,6.0,24.0,0.876,False,,False,,,receptor,intracellular/transducer interface,2.45x45;2.46x46;3.53x53,available_detected_pocket,,1.1
G12_8IKL,Adhesion G protein-coupled receptor E5,G12-13,8.0,20.0,0.859,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
G12_8IKL,Adhesion G protein-coupled receptor E5,G12-13,10.0,20.0,0.876,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
G12_8IKL,Adhesion G protein-coupled receptor E5,G12-13,0.0,6.0,0.87,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
G12_8IKL,Adhesion G protein-coupled receptor E5,G12-13,11.0,5.0,0.859,False,,False,,,interface,intracellular/transducer interface,3.60x60,available_detected_pocket,,1.1
G12_8IKL,Adhesion G protein-coupled receptor E5,G12-13,13.0,4.0,0.857,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
G12_8IKL,Adhesion G protein-coupled receptor E5,G12-13,3.0,3.0,0.862,False,,False,,,receptor,extracellular vestibule,4.57x57;4.61x61,available_detected_pocket,,1.1
G12_8KGG,Putative P2Y purinoceptor 10,G12-13,12.0,539.0,0.932,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
G12_8KGG,Putative P2Y purinoceptor 10,G12-13,7.0,454.0,0.917,False,,False,,,g_protein,intracellular/transducer interface,6.27x28;6.29x30;6.30x31;6.32x33,available_detected_pocket,,1.1
G12_8KGG,Putative P2Y purinoceptor 10,G12-13,1.0,386.0,0.924,False,,False,,,receptor,extracellular vestibule,1.31x31;1.32x32;1.35x35;1.39x39;2.60x60;2.64x64;3.29x29;3.33x33;3.37x37;3.38x38;3.41x41;4.49x49;4.52x52;4.53x53;4.54x54;4.55x55;4.56x56;4.57x57;4.58x58;4.59x59;4.60x60;4.61x61;4.62x62;4.63x63;45.51x51;45.52x52;5.35x36;5.38x39;5.39x40;5.42x43;6.51x51;6.55x55;6.58x58;6.62x62;7.35x34;7.36x35;7.39x38,available_detected_pocket,,1.1
G12_8KGG,Putative P2Y purinoceptor 10,G12-13,6.0,86.0,0.901,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
G12_8KGG,Putative P2Y purinoceptor 10,G12-13,5.0,48.0,0.871,False,,False,,,interface,intracellular/transducer interface,,available_detected_pocket,,1.1
G12_8KGG,Putative P2Y purinoceptor 10,G12-13,2.0,32.0,0.882,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
G12_8KGG,Putative P2Y purinoceptor 10,G12-13,3.0,25.0,0.872,False,,False,,,receptor,intracellular/transducer interface,2.42x42;3.45x45;3.49x49;3.52x52;3.53x53;4.42x42;4.45x45,available_detected_pocket,,1.1
G12_8KGG,Putative P2Y purinoceptor 10,G12-13,4.0,25.0,0.889,False,,False,,,receptor,membrane-facing,3.46x46;3.47x47;3.48x48;3.50x50;3.51x51;5.54x54;5.57x57;5.58x58;5.61x61;6.37x38;6.40x41;6.41x42;7.53x53,available_detected_pocket,,1.1
G12_8KGG,Putative P2Y purinoceptor 10,G12-13,9.0,24.0,0.866,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
G12_8KGG,Putative P2Y purinoceptor 10,G12-13,11.0,17.0,0.859,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
G12_8KGG,Putative P2Y purinoceptor 10,G12-13,0.0,13.0,0.872,False,,False,,,interface,intracellular/transducer interface,3.56x56,available_detected_pocket,,1.1
G12_8KGG,Putative P2Y purinoceptor 10,G12-13,8.0,7.0,0.861,False,,False,,,receptor,intracellular/transducer interface,2.39x39,available_detected_pocket,,1.1
G12_8KGG,Putative P2Y purinoceptor 10,G12-13,10.0,3.0,0.858,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
G12_9IY8,G-protein coupled receptor 55,G12-13,0.0,1222.0,0.914,False,,False,,,g_protein,intracellular/transducer interface,3.49x49;3.52x52;3.53x53;34.50x50;34.51x51;34.52x52;34.53x53;34.54x54;34.55x55;34.56x56;34.57x57;4.41x41,available_detected_pocket,,1.1
G12_9IY8,G-protein coupled receptor 55,G12-13,7.0,395.0,0.904,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
G12_9IY8,G-protein coupled receptor 55,G12-13,3.0,254.0,0.886,False,,False,,,receptor,extracellular vestibule,1.39x39;1.42x42;1.43x43;1.46x46;2.50x50;2.53x53;2.54x54;2.55x55;2.56x56;2.57x57;2.60x60;3.29x29;3.32x32;3.33x33;3.36x36;3.37x37;4.60x61;4.61x62;4.64x65;4.65x66;4.68x69;45.51x51;45.52x52;5.38x39;5.42x43;6.51x51;6.52x52;6.55x55;7.39x38;7.40x39;7.42x41;7.43x42;7.44x43;7.45x45;7.46x46,available_detected_pocket,,1.1
G12_9IY8,G-protein coupled receptor 55,G12-13,5.0,129.0,0.915,False,,False,,,receptor,membrane-facing,3.33x33;3.37x37;3.41x41;3.44x44;5.37x38;5.38x39;5.39x40;5.40x41;5.41x42;5.42x43;5.43x44;5.44x45;5.45x46;5.46x461;5.47x47;5.49x49;5.50x50;5.53x53,available_detected_pocket,,1.1
G12_9IY8,G-protein coupled receptor 55,G12-13,1.0,29.0,0.875,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
G12_9IY8,G-protein coupled receptor 55,G12-13,2.0,17.0,0.859,False,,False,,,receptor,membrane-facing,2.41x41;2.42x42;2.45x45;4.43x43;4.46x46;4.47x47;4.50x50,available_detected_pocket,,1.1
G12_9IY8,G-protein coupled receptor 55,G12-13,6.0,14.0,0.877,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
G12_9IY8,G-protein coupled receptor 55,G12-13,8.0,10.0,0.87,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
G12_9IY8,G-protein coupled receptor 55,G12-13,4.0,8.0,0.862,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
Gi_6CMO,Rhodopsin,Gi,6.0,695.0,0.944,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
Gi_6CMO,Rhodopsin,Gi,11.0,415.0,0.918,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
Gi_6CMO,Rhodopsin,Gi,0.0,407.0,0.913,False,,False,,,receptor,membrane-facing,1.31x31;1.32x32;1.34x34;1.35x35;1.36x36;1.39x39;2.46x46;2.49x49;2.50x50;2.53x53;2.54x54;2.57x56;2.58x57;2.61x60;2.65x64;3.29x29;3.30x30;3.31x31;3.32x32;3.33x33;3.34x34;3.35x35;3.36x36;3.37x37;3.38x38;3.39x39;3.40x40;3.41x41;4.56x56;4.60x60;45.50x50;45.51x51;45.52x52;5.39x40;5.41x42;5.42x43;5.43x44;5.44x45;5.45x46;5.46x461;5.47x47;6.48x48;6.51x51;6.55x55;7.35x34;7.36x35;7.38x37;7.39x38;7.40x39;7.42x41;7.43x42;7.44x43;7.45x45;7.46x46;7.47x47;7.49x49,available_detected_pocket,,1.1
Gi_6CMO,Rhodopsin,Gi,5.0,184.0,0.896,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
Gi_6CMO,Rhodopsin,Gi,10.0,156.0,0.914,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
Gi_6CMO,Rhodopsin,Gi,4.0,154.0,0.892,False,,False,,,interface,intracellular/transducer interface,12.49x49;12.50x50;2.37x37;8.49x49,available_detected_pocket,,1.1
Gi_6CMO,Rhodopsin,Gi,7.0,120.0,0.886,False,,False,,,interface,intracellular/transducer interface,2.37x37;2.38x38;2.39x39;3.49x49;3.53x53;3.56x56;4.41x41;5.68x68;5.71x71,available_detected_pocket,,1.1
Gi_6CMO,Rhodopsin,Gi,9.0,76.0,0.892,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
Gi_6CMO,Rhodopsin,Gi,2.0,60.0,0.868,False,,False,,,other,other,,available_detected_pocket,,1.1
Gi_6CMO,Rhodopsin,Gi,3.0,34.0,0.871,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
Gi_6CMO,Rhodopsin,Gi,1.0,8.0,0.863,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
Gi_6CMO,Rhodopsin,Gi,12.0,7.0,0.877,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
Gi_6CMO,Rhodopsin,Gi,8.0,3.0,0.856,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
Gi_6D9H,Muscarinic acetylcholine receptor M4,Gi,2.0,505.0,0.916,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
Gi_6D9H,Muscarinic acetylcholine receptor M4,Gi,6.0,301.0,0.946,False,,False,,,receptor,membrane-facing,2.53x53;2.57x56;2.60x59;2.61x60;2.64x63;2.65x64;3.28x28;3.29x29;3.30x30;3.31x31;3.32x32;3.33x33;3.34x34;3.35x35;3.36x36;3.37x37;3.39x39;3.40x40;45.50x50;45.51x51;45.52x52;5.38x40;5.42x43;5.47x47;6.48x48;6.51x51;6.52x52;6.55x55;7.39x38;7.42x41;7.43x42,available_detected_pocket,,1.1
Gi_6D9H,Muscarinic acetylcholine receptor M4,Gi,7.0,225.0,0.906,False,,False,,,interface,intracellular/transducer interface,6.25x25;6.26x26;6.29x29;6.32x32;8.48x48;8.51x51,available_detected_pocket,,1.1
Gi_6D9H,Muscarinic acetylcholine receptor M4,Gi,9.0,99.0,0.904,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
Gi_6D9H,Muscarinic acetylcholine receptor M4,Gi,11.0,79.0,0.887,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
Gi_6D9H,Muscarinic acetylcholine receptor M4,Gi,0.0,68.0,0.868,False,,False,,,interface,intracellular/transducer interface,,available_detected_pocket,,1.1
Gi_6D9H,Muscarinic acetylcholine receptor M4,Gi,8.0,42.0,0.877,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
Gi_6D9H,Muscarinic acetylcholine receptor M4,Gi,10.0,39.0,0.888,False,,False,,,receptor,intracellular/transducer interface,3.44x44;3.45x45;3.46x46;3.47x47;3.48x48;3.49x49;3.50x50;3.51x51;3.52x52;3.53x53;34.53x53;34.56x56;34.57x57,available_detected_pocket,,1.1
Gi_6D9H,Muscarinic acetylcholine receptor M4,Gi,4.0,26.0,0.861,False,,False,,,interface,intracellular/transducer interface,1.60x60;8.56x56,available_detected_pocket,,1.1
Gi_6D9H,Muscarinic acetylcholine receptor M4,Gi,1.0,14.0,0.877,False,,False,,,interface,intracellular/transducer interface,,available_detected_pocket,,1.1
Gi_6D9H,Muscarinic acetylcholine receptor M4,Gi,5.0,4.0,0.855,False,,False,,,receptor,membrane-facing,1.42x42;7.43x42;7.44x43;7.45x45;7.47x47,available_detected_pocket,,1.1
Gi_6D9H,Muscarinic acetylcholine receptor M4,Gi,3.0,3.0,0.853,False,,False,,,interface,intracellular/transducer interface,,available_detected_pocket,,1.1
Gi_6G79,5-hydroxytryptamine receptor 1B,Gi,1.0,450.0,0.896,False,,False,,,interface,intracellular/transducer interface,1.60x60;12.48x48;12.49x49;2.39x39;2.43x43;3.46x46;3.49x49;3.50x50;3.51x51;3.53x53;3.54x54;34.53x53;34.57x57;8.47x47;8.48x48;8.49x49;8.53x53;8.56x56,available_detected_pocket,,1.1
Gi_6G79,5-hydroxytryptamine receptor 1B,Gi,2.0,383.0,0.934,False,,False,,,receptor,extracellular vestibule,1.35x35;2.61x60;2.64x63;2.65x64;2.68x67;3.28x28;3.29x29;3.32x32;3.33x33;3.36x36;3.37x37;3.40x40;45.50x50;45.51x51;45.52x52;5.38x39;5.39x40;5.42x43;5.43x44;5.46x461;5.47x47;6.48x48;6.51x51;6.52x52;6.54x54;6.55x55;6.58x58;7.32x31;7.33x32;7.34x33;7.35x34;7.36x35;7.37x36;7.38x37;7.39x38;7.40x39;7.42x41;7.43x42,available_detected_pocket,,1.1
Gi_6G79,5-hydroxytryptamine receptor 1B,Gi,0.0,365.0,0.904,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
Gi_6G79,5-hydroxytryptamine receptor 1B,Gi,4.0,206.0,0.896,False,,False,,,interface,intracellular/transducer interface,5.67x67;5.68x68;5.69x69;5.70x70;6.29x29,available_detected_pocket,,1.1
Gi_6G79,5-hydroxytryptamine receptor 1B,Gi,3.0,179.0,0.885,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
Gi_6G79,5-hydroxytryptamine receptor 1B,Gi,7.0,15.0,0.877,False,,False,,,receptor,extracellular vestibule,3.41x41;4.52x52,available_detected_pocket,,1.1
Gi_6G79,5-hydroxytryptamine receptor 1B,Gi,8.0,9.0,0.866,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
Gi_6G79,5-hydroxytryptamine receptor 1B,Gi,6.0,4.0,0.855,False,,False,,,interface,intracellular/transducer interface,34.51x51;34.54x54;34.55x55,available_detected_pocket,,1.1
Gi_6G79,5-hydroxytryptamine receptor 1B,Gi,5.0,3.0,0.854,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
Gi_6K42,Alpha-2A adrenergic receptor,Gi,4.0,286.0,0.928,False,,False,,,receptor,extracellular vestibule,2.64x63;2.65x64;3.32x32;3.33x33;3.36x36;3.40x40;45.50x50;45.52x52;5.42x43;5.43x44;5.46x461;5.47x47;6.48x48;6.51x51;6.52x52;6.54x54;6.55x55;6.57x57;7.35x34;7.36x35;7.38x37;7.39x38;7.40x39;7.42x41;7.43x42,available_detected_pocket,,1.1
Gi_6K42,Alpha-2A adrenergic receptor,Gi,1.0,279.0,0.91,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
Gi_6K42,Alpha-2A adrenergic receptor,Gi,11.0,236.0,0.901,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
Gi_6K42,Alpha-2A adrenergic receptor,Gi,2.0,204.0,0.895,False,,False,,,interface,intracellular/transducer interface,5.68x68;5.69x69;6.29x29;8.48x48,available_detected_pocket,,1.1
Gi_6K42,Alpha-2A adrenergic receptor,Gi,9.0,183.0,0.924,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
Gi_6K42,Alpha-2A adrenergic receptor,Gi,5.0,117.0,0.902,False,,False,,,receptor,membrane-facing,12.49x49;12.50x50;2.40x40;2.43x43;3.46x46;3.49x49;3.50x50;3.53x53;34.57x57;7.53x53;8.47x47;8.49x49;8.50x50,available_detected_pocket,,1.1
Gi_6K42,Alpha-2A adrenergic receptor,Gi,12.0,64.0,0.882,False,,False,,,receptor,membrane-facing,2.42x42;3.41x41;3.44x44;3.45x45;3.46x46;3.48x48;3.49x49;3.52x52;34.53x53;4.41x41;4.42x42;4.45x45;4.49x49;5.53x53,available_detected_pocket,,1.1
Gi_6K42,Alpha-2A adrenergic receptor,Gi,8.0,48.0,0.871,False,,False,,,interface,intracellular/transducer interface,,available_detected_pocket,,1.1
Gi_6K42,Alpha-2A adrenergic receptor,Gi,0.0,23.0,0.874,False,,False,,,receptor,extracellular vestibule,1.48x48;7.50x50;7.51x51;7.55x55;8.54x54,available_detected_pocket,,1.1
Gi_6K42,Alpha-2A adrenergic receptor,Gi,6.0,21.0,0.873,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
Gi_6K42,Alpha-2A adrenergic receptor,Gi,3.0,20.0,0.865,False,,False,,,receptor,membrane-facing,1.56x56;1.59x59;12.48x48;12.49x49;8.52x52;8.53x53;8.56x56,available_detected_pocket,,1.1
Gi_6K42,Alpha-2A adrenergic receptor,Gi,10.0,19.0,0.879,False,,False,,,interface,intracellular/transducer interface,5.64x64;5.67x67;5.68x68,available_detected_pocket,,1.1
Gi_6K42,Alpha-2A adrenergic receptor,Gi,7.0,5.0,0.855,False,,False,,,receptor,membrane-facing,5.58x58;5.62x62;6.37x37;6.41x41,available_detected_pocket,,1.1
Gi_6K42,Alpha-2A adrenergic receptor,Gi,13.0,4.0,0.857,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
Gi_6LFO,C-X-C chemokine receptor type 2,Gi,5.0,1251.0,0.914,False,,False,,,g_protein,intracellular/transducer interface,6.29x29,available_detected_pocket,,1.1
Gi_6LFO,C-X-C chemokine receptor type 2,Gi,3.0,826.0,0.93,False,,False,,,receptor,membrane-facing,1.32x32;1.35x35;1.36x36;1.39x39;2.46x46;2.49x49;2.50x50;2.53x53;2.60x60;2.63x63;2.64x64;2.65x65;23.49x49;23.50x50;3.32x32;3.33x33;3.35x35;3.36x36;3.37x37;3.38x38;3.39x39;3.40x40;3.43x43;4.60x61;45.50x50;45.52x52;5.39x40;5.43x44;5.47x47;6.48x48;6.51x51;6.54x54;6.55x55;6.58x58;6.62x62;7.25x24;7.28x27;7.32x31;7.35x34;7.36x35;7.38x37;7.39x38;7.40x39;7.41x40;7.42x41;7.43x42;7.45x45;7.46x46;7.49x49,available_detected_pocket,,1.1
Gi_6LFO,C-X-C chemokine receptor type 2,Gi,0.0,729.0,0.941,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
Gi_6LFO,C-X-C chemokine receptor type 2,Gi,1.0,96.0,0.877,False,,False,,,interface,intracellular/transducer interface,1.59x59;8.49x49;8.52x52;8.56x56,available_detected_pocket,,1.1
Gi_6LFO,C-X-C chemokine receptor type 2,Gi,8.0,94.0,0.902,False,,False,,,interface,intracellular/transducer interface,2.39x39;3.49x49;3.50x50;3.52x52;3.53x53;3.54x54;34.50x50;34.53x53;34.54x54;34.57x57,available_detected_pocket,,1.1
Gi_6LFO,C-X-C chemokine receptor type 2,Gi,2.0,93.0,0.912,False,,False,,,receptor,intracellular/transducer interface,1.42x42;1.45x45;1.46x46;1.47x47;1.48x48;1.49x49;1.50x50;1.53x53;2.43x43;2.46x46;2.47x47;2.50x50;7.46x46;7.47x47;7.48x48;7.49x49;7.50x50;7.51x51;7.53x53;7.54x54,available_detected_pocket,,1.1
Gi_6LFO,C-X-C chemokine receptor type 2,Gi,6.0,58.0,0.89,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
Gi_6LFO,C-X-C chemokine receptor type 2,Gi,10.0,47.0,0.892,False,,False,,,receptor,intracellular/transducer interface,2.42x42;3.45x45;3.48x48;3.49x49;3.52x52;4.41x41;4.45x45,available_detected_pocket,,1.1
Gi_6LFO,C-X-C chemokine receptor type 2,Gi,9.0,39.0,0.87,False,,False,,,interface,intracellular/transducer interface,34.58x58,available_detected_pocket,,1.1
Gi_6LFO,C-X-C chemokine receptor type 2,Gi,4.0,20.0,0.86,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
Gi_6LFO,C-X-C chemokine receptor type 2,Gi,7.0,16.0,0.869,False,,False,,,receptor,extracellular vestibule,7.24x23;7.25x24,available_detected_pocket,,1.1
Gi_6LML,Glucagon receptor,Gi,1.0,569.0,0.916,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
Gi_6LML,Glucagon receptor,Gi,4.0,567.0,0.932,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
Gi_6LML,Glucagon receptor,Gi,3.0,189.0,0.903,False,,False,,,receptor,intracellular/transducer interface,2.46x46;2.50x50;2.53x53;3.47x47;3.50x50;3.54x54;5.54x54;5.57x57;5.61x61;6.42x42;6.43x43;6.44x44;6.45x45;6.46x46;6.47x47;6.48x48;6.49x49;6.50x50;7.53x53;7.56x56;7.57x57;7.58x58;7.60x60;8.47x47;8.48x48;8.49x49;8.50x50,available_detected_pocket,,1.1
Gi_6LML,Glucagon receptor,Gi,8.0,127.0,0.921,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
Gi_6LML,Glucagon receptor,Gi,5.0,105.0,0.907,False,,False,,,receptor,membrane-facing,3.37x37;3.40x40;5.36x37;5.39x39;5.40x40;7.35x34;7.38x37,available_detected_pocket,,1.1
Gi_6LML,Glucagon receptor,Gi,6.0,60.0,0.874,False,,False,,,interface,intracellular/transducer interface,2.45x45;3.53x53;3.56x56;3.57x57;3.59x59,available_detected_pocket,,1.1
Gi_6LML,Glucagon receptor,Gi,2.0,53.0,0.879,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
Gi_6LML,Glucagon receptor,Gi,7.0,36.0,0.872,False,,False,,,receptor,membrane-facing,1.29x29,available_detected_pocket,,1.1
Gi_6LML,Glucagon receptor,Gi,10.0,22.0,0.875,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
