system_id,g_protein_family,g_protein_family_label,gpcr_centered_pockets,mean_gpcr_pocket_occupancy
Gq_7F6G,Gq,Gq/11,7,0.8865714285714287
Gq_7F8W,Gq,Gq/11,3,0.876
Gq_7P00,Gq,Gq/11,3,0.9049999999999999
Gq_7RAN,Gq,Gq/11,4,0.881
Gq_7S8L,Gq,Gq/11,4,0.89625
Gq_7S8P,Gq,Gq/11,3,0.9093333333333334
Gq_7SR8,Gq,Gq/11,3,0.879
Gq_7SRR,Gq,Gq/11,3,0.9010000000000001
Gq_7TRY,Gq,Gq/11,3,0.8593333333333333
Gq_7W3Z,Gq,Gq/11,1,0.885
Gq_7W53,Gq,Gq/11,5,0.8904
Gq_7W55,Gq,Gq/11,3,0.8836666666666666
Gq_7XW9,Gq,Gq/11,6,0.8806666666666666
Gq_7XWO,Gq,Gq/11,3,0.888
Gq_7XXH,Gq,Gq/11,3,0.878
Gq_7Y26,Gq,Gq/11,4,0.88925
Gq_7YDM,Gq,Gq/11,1,0.918
Gq_8DWC,Gq,Gq/11,8,0.891
Gq_8E9W,Gq,Gq/11,4,0.89875
Gq_8EJC,Gq,Gq/11,3,0.8846666666666666
Gq_8F7X,Gq,Gq/11,6,0.8975
Gq_8H0P,Gq,Gq/11,4,0.8945000000000001
Gq_8HCQ,Gq,Gq/11,3,0.8793333333333333
Gq_8HCX,Gq,Gq/11,3,0.888
Gq_8IBV,Gq,Gq/11,4,0.88725
Gq_8IUK,Gq,Gq/11,4,0.911
Gq_8IYS,Gq,Gq/11,3,0.8943333333333333
Gq_8J9N,Gq,Gq/11,2,0.893
Gq_8JBG,Gq,Gq/11,6,0.8871666666666668
Gq_8WST,Gq,Gq/11,2,0.8985000000000001
Gq_8WZ2,Gq,Gq/11,3,0.8969999999999999
Gq_8XGS,Gq,Gq/11,3,0.867
Gq_8XOJ,Gq,Gq/11,3,0.8933333333333334
Gq_8XOR,Gq,Gq/11,4,0.898
Gq_8Y53,Gq,Gq/11,5,0.8865999999999999
Gq_8ZPT,Gq,Gq/11,3,0.8850000000000001
Gs_3SN6,Gs,Gs,1,0.91
Gs_6GDG,Gs,Gs,5,0.8996000000000001
Gs_6LI3,Gs,Gs,1,0.882
Gs_6NBI,Gs,Gs,1,0.899
Gs_6PB0,Gs,Gs,4,0.88075
Gs_6PB1,Gs,Gs,2,0.884
Gs_6UVA,Gs,Gs,6,0.8691666666666666
Gs_6WZG,Gs,Gs,4,0.87775
Gs_7CFN,Gs,Gs,3,0.9176666666666667
Gs_7CX2,Gs,Gs,4,0.89975
Gs_7D68,Gs,Gs,4,0.89325
Gs_7D7M,Gs,Gs,2,0.9279999999999999
Gs_7DUQ,Gs,Gs,5,0.8876
Gs_7EQ1,Gs,Gs,2,0.882
Gs_7F16,Gs,Gs,3,0.903
Gs_7F4H,Gs,Gs,3,0.8883333333333333
Gs_7F54,Gs,Gs,2,0.88
Gs_7FIG,Gs,Gs,2,0.8955
Gs_7FIN,Gs,Gs,4,0.89
Gs_7JVQ,Gs,Gs,5,0.9076000000000001
Gs_7KH0,Gs,Gs,4,0.8885000000000001
Gs_7L1V,Gs,Gs,3,0.8873333333333333
Gs_7RMH,Gs,Gs,3,0.8889999999999999
Gs_7T9N,Gs,Gs,1,0.881
Gs_7V9M,Gs,Gs,3,0.91
Gs_7WBJ,Gs,Gs,2,0.9025000000000001
Gs_7WU2,Gs,Gs,1,0.885
Gs_7WU3,Gs,Gs,2,0.8755
Gs_7WUJ,Gs,Gs,3,0.878
Gs_7XT8,Gs,Gs,6,0.8823333333333334
Gs_7XTB,Gs,Gs,2,0.894
Gs_7XTC,Gs,Gs,3,0.907
Gs_7XV3,Gs,Gs,2,0.889
Gs_7XZ5,Gs,Gs,1,0.951
Gs_7Y3G,Gs,Gs,3,0.891
Gs_8E3X,Gs,Gs,3,0.8923333333333333
Gs_8E3Y,Gs,Gs,3,0.8686666666666666
Gs_8F0J,Gs,Gs,1,0.937
Gs_8F76,Gs,Gs,3,0.915
Gs_8FU6,Gs,Gs,3,0.9049999999999999
Gs_8H4I,Gs,Gs,4,0.89425
Gs_8HDP,Gs,Gs,4,0.9275
Gs_8HJ1,Gs,Gs,4,0.88225
Gs_8HJ2,Gs,Gs,4,0.9
Gs_8HTI,Gs,Gs,3,0.8856666666666667
Gs_8I2G,Gs,Gs,5,0.8686
Gs_8INR,Gs,Gs,4,0.89175
Gs_8IOC,Gs,Gs,3,0.8803333333333333
Gs_8IRV,Gs,Gs,6,0.9051666666666667
Gs_8JPP,Gs,Gs,3,0.9049999999999999
Gs_8KGK,Gs,Gs,1,0.894
Gs_8KH5,Gs,Gs,3,0.8896666666666667
Gs_8SMV,Gs,Gs,2,0.883
Gs_8U8F,Gs,Gs,3,0.8933333333333334
Gs_8W87,Gs,Gs,7,0.9
Gs_8W8Q,Gs,Gs,4,0.881
Gs_8WJX,Gs,Gs,2,0.91
Gs_8X79,Gs,Gs,2,0.9119999999999999
Gs_8XVI,Gs,Gs,3,0.9173333333333334
Gs_8YN2,Gs,Gs,5,0.8868
Gs_8YUT,Gs,Gs,1,0.915
Gs_8YUV,Gs,Gs,3,0.9103333333333333
Gs_9BLC,Gs,Gs,1,0.925
