system_id,g_protein_family,g_protein_family_label,interface,mean,ci_lo,ci_hi,n_replicas,replica_1,replica_2,replica_3,unit
Gi_6K42,Gi,Gi/o,TM6-TM7,0.003,0.0,0.01,3,0.01,0.0,0.0,fraction
Gi_6K42,Gi,Gi/o,TM7-TM1,0.702,0.525,0.79,3,0.79,0.525,0.79,fraction
Gi_6LFO,Gi,Gi/o,TM1-TM2,0.088,0.065,0.115,3,0.065,0.115,0.085,fraction
Gi_6LFO,Gi,Gi/o,TM2-TM3,0.002,0.0,0.005,3,0.005,0.0,0.0,fraction
Gi_6LFO,Gi,Gi/o,TM3-TM4,0.138,0.085,0.195,3,0.085,0.195,0.135,fraction
Gi_6LFO,Gi,Gi/o,TM4-TM5,0.017,0.005,0.03,3,0.03,0.015,0.005,fraction
Gi_6LFO,Gi,Gi/o,TM5-TM6,0.185,0.175,0.195,3,0.185,0.175,0.195,fraction
Gi_6LFO,Gi,Gi/o,TM6-TM7,0.252,0.085,0.385,3,0.385,0.085,0.285,fraction
Gi_6LFO,Gi,Gi/o,TM7-TM1,0.932,0.915,0.955,3,0.925,0.955,0.915,fraction
Gi_6LML,Gi,Gi/o,TM1-TM2,0.03,0.0,0.05,3,0.04,0.05,0.0,fraction
Gi_6LML,Gi,Gi/o,TM2-TM3,0.005,0.0,0.01,3,0.005,0.01,0.0,fraction
Gi_6LML,Gi,Gi/o,TM3-TM4,0.57,0.48,0.635,3,0.635,0.48,0.595,fraction
Gi_6LML,Gi,Gi/o,TM4-TM5,0.315,0.13,0.43,3,0.385,0.13,0.43,fraction
Gi_6LML,Gi,Gi/o,TM5-TM6,0.328,0.265,0.425,3,0.265,0.425,0.295,fraction
Gi_6LML,Gi,Gi/o,TM6-TM7,0.322,0.095,0.52,3,0.52,0.095,0.35,fraction
Gi_6LML,Gi,Gi/o,TM7-TM1,0.002,0.0,0.005,3,0.0,0.005,0.0,fraction
Gi_6OSA,Gi,Gi/o,TM1-TM2,0.365,0.315,0.45,3,0.45,0.315,0.33,fraction
Gi_6OSA,Gi,Gi/o,TM2-TM3,0.018,0.0,0.055,3,0.055,0.0,0.0,fraction
Gi_6OSA,Gi,Gi/o,TM3-TM4,0.505,0.395,0.665,3,0.665,0.395,0.455,fraction
Gi_6OSA,Gi,Gi/o,TM4-TM5,0.427,0.325,0.52,3,0.325,0.52,0.435,fraction
Gi_6OSA,Gi,Gi/o,TM5-TM6,0.263,0.03,0.71,3,0.71,0.05,0.03,fraction
Gi_6OSA,Gi,Gi/o,TM6-TM7,0.24,0.095,0.405,3,0.22,0.095,0.405,fraction
Gi_6OSA,Gi,Gi/o,TM7-TM1,0.492,0.31,0.695,3,0.31,0.695,0.47,fraction
Gi_6PT0,Gi,Gi/o,TM1-TM2,0.645,0.625,0.67,3,0.67,0.64,0.625,fraction
Gi_6PT0,Gi,Gi/o,TM2-TM3,0.0,0.0,0.0,3,0.0,0.0,0.0,fraction
Gi_6PT0,Gi,Gi/o,TM3-TM4,0.565,0.545,0.585,3,0.585,0.545,0.565,fraction
Gi_6PT0,Gi,Gi/o,TM4-TM5,0.832,0.785,0.87,3,0.785,0.87,0.84,fraction
Gi_6PT0,Gi,Gi/o,TM5-TM6,0.977,0.96,0.99,3,0.98,0.99,0.96,fraction
Gi_6PT0,Gi,Gi/o,TM6-TM7,0.06,0.03,0.1,3,0.1,0.03,0.05,fraction
Gi_6PT0,Gi,Gi/o,TM7-TM1,0.197,0.16,0.235,3,0.195,0.16,0.235,fraction
Gi_6WWZ,Gi,Gi/o,TM1-TM2,0.098,0.065,0.135,3,0.095,0.065,0.135,fraction
Gi_6WWZ,Gi,Gi/o,TM2-TM3,0.042,0.02,0.07,3,0.02,0.07,0.035,fraction
Gi_6WWZ,Gi,Gi/o,TM3-TM4,0.375,0.24,0.56,3,0.24,0.325,0.56,fraction
Gi_6WWZ,Gi,Gi/o,TM4-TM5,0.082,0.08,0.085,3,0.08,0.08,0.085,fraction
Gi_6WWZ,Gi,Gi/o,TM5-TM6,0.133,0.115,0.16,3,0.16,0.115,0.125,fraction
Gi_6WWZ,Gi,Gi/o,TM6-TM7,0.105,0.045,0.17,3,0.045,0.17,0.1,fraction
Gi_6WWZ,Gi,Gi/o,TM7-TM1,0.88,0.875,0.885,3,0.88,0.875,0.885,fraction
Gi_7CMV,Gi,Gi/o,TM1-TM2,0.007,0.0,0.01,3,0.01,0.01,0.0,fraction
Gi_7CMV,Gi,Gi/o,TM2-TM3,0.0,0.0,0.0,3,0.0,0.0,0.0,fraction
Gi_7CMV,Gi,Gi/o,TM3-TM4,0.482,0.395,0.525,3,0.525,0.395,0.525,fraction
Gi_7CMV,Gi,Gi/o,TM4-TM5,0.06,0.055,0.065,3,0.055,0.06,0.065,fraction
Gi_7CMV,Gi,Gi/o,TM5-TM6,0.112,0.04,0.17,3,0.125,0.04,0.17,fraction
Gi_7CMV,Gi,Gi/o,TM6-TM7,0.1,0.005,0.28,3,0.005,0.015,0.28,fraction
Gi_7CMV,Gi,Gi/o,TM7-TM1,0.617,0.585,0.675,3,0.59,0.585,0.675,fraction
Gi_7D77,Gi,Gi/o,TM1-TM2,0.115,0.055,0.205,3,0.055,0.085,0.205,fraction
Gi_7D77,Gi,Gi/o,TM2-TM3,0.0,0.0,0.0,3,0.0,0.0,0.0,fraction
Gi_7D77,Gi,Gi/o,TM3-TM4,0.135,0.08,0.195,3,0.08,0.195,0.13,fraction
Gi_7D77,Gi,Gi/o,TM4-TM5,0.692,0.62,0.755,3,0.62,0.7,0.755,fraction
Gi_7D77,Gi,Gi/o,TM5-TM6,0.107,0.02,0.195,3,0.105,0.195,0.02,fraction
Gi_7D77,Gi,Gi/o,TM6-TM7,0.267,0.16,0.475,3,0.165,0.475,0.16,fraction
Gi_7D77,Gi,Gi/o,TM7-TM1,0.007,0.0,0.02,3,0.0,0.02,0.0,fraction
Gi_7E2X,Gi,Gi/o,TM1-TM2,0.37,0.21,0.49,3,0.21,0.49,0.41,fraction
Gi_7E2X,Gi,Gi/o,TM2-TM3,0.0,0.0,0.0,3,0.0,0.0,0.0,fraction
Gi_7E2X,Gi,Gi/o,TM3-TM4,0.38,0.34,0.415,3,0.415,0.385,0.34,fraction
Gi_7E2X,Gi,Gi/o,TM4-TM5,0.013,0.005,0.025,3,0.025,0.01,0.005,fraction
Gi_7E2X,Gi,Gi/o,TM5-TM6,0.417,0.195,0.64,3,0.64,0.415,0.195,fraction
Gi_7E2X,Gi,Gi/o,TM6-TM7,0.01,0.0,0.03,3,0.0,0.0,0.03,fraction
Gi_7E2X,Gi,Gi/o,TM7-TM1,0.667,0.59,0.745,3,0.745,0.665,0.59,fraction
Gi_7E32,Gi,Gi/o,TM1-TM2,0.162,0.1,0.27,3,0.1,0.115,0.27,fraction
Gi_7E32,Gi,Gi/o,TM2-TM3,0.003,0.0,0.01,3,0.0,0.0,0.01,fraction
Gi_7E32,Gi,Gi/o,TM3-TM4,0.473,0.37,0.635,3,0.37,0.635,0.415,fraction
Gi_7E32,Gi,Gi/o,TM4-TM5,0.038,0.025,0.06,3,0.06,0.03,0.025,fraction
Gi_7E32,Gi,Gi/o,TM5-TM6,0.307,0.065,0.695,3,0.065,0.695,0.16,fraction
Gi_7E32,Gi,Gi/o,TM6-TM7,0.015,0.0,0.025,3,0.025,0.0,0.02,fraction
Gi_7E32,Gi,Gi/o,TM7-TM1,0.643,0.59,0.745,3,0.595,0.59,0.745,fraction
Gi_7E33,Gi,Gi/o,TM1-TM2,0.06,0.045,0.075,3,0.045,0.06,0.075,fraction
Gi_7E33,Gi,Gi/o,TM2-TM3,0.007,0.0,0.015,3,0.0,0.005,0.015,fraction
Gi_7E33,Gi,Gi/o,TM3-TM4,0.415,0.365,0.49,3,0.49,0.39,0.365,fraction
Gi_7E33,Gi,Gi/o,TM4-TM5,0.015,0.005,0.02,3,0.02,0.02,0.005,fraction
Gi_7E33,Gi,Gi/o,TM5-TM6,0.128,0.05,0.215,3,0.12,0.05,0.215,fraction
Gi_7E33,Gi,Gi/o,TM6-TM7,0.137,0.025,0.22,3,0.22,0.165,0.025,fraction
Gi_7E33,Gi,Gi/o,TM7-TM1,0.333,0.295,0.39,3,0.295,0.315,0.39,fraction
Gi_7EJX,Gi,Gi/o,TM1-TM2,0.182,0.15,0.24,3,0.15,0.155,0.24,fraction
Gi_7EJX,Gi,Gi/o,TM2-TM3,0.002,0.0,0.005,3,0.0,0.005,0.0,fraction
Gi_7EJX,Gi,Gi/o,TM3-TM4,0.767,0.685,0.83,3,0.685,0.83,0.785,fraction
Gi_7EJX,Gi,Gi/o,TM4-TM5,0.598,0.53,0.695,3,0.53,0.695,0.57,fraction
Gi_7EJX,Gi,Gi/o,TM5-TM6,0.027,0.0,0.075,3,0.005,0.0,0.075,fraction
Gi_7EJX,Gi,Gi/o,TM6-TM7,0.118,0.075,0.19,3,0.09,0.19,0.075,fraction
Gi_7EJX,Gi,Gi/o,TM7-TM1,0.787,0.715,0.855,3,0.715,0.79,0.855,fraction
Gi_7EW1,Gi,Gi/o,TM1-TM2,0.838,0.67,0.94,3,0.905,0.94,0.67,fraction
Gi_7EW1,Gi,Gi/o,TM2-TM3,0.02,0.005,0.035,3,0.035,0.005,0.02,fraction
Gi_7EW1,Gi,Gi/o,TM3-TM4,0.628,0.585,0.65,3,0.65,0.65,0.585,fraction
Gi_7EW1,Gi,Gi/o,TM4-TM5,0.44,0.425,0.45,3,0.45,0.445,0.425,fraction
Gi_7EW1,Gi,Gi/o,TM5-TM6,0.065,0.01,0.115,3,0.01,0.115,0.07,fraction
Gi_7EW1,Gi,Gi/o,TM6-TM7,0.36,0.29,0.45,3,0.29,0.34,0.45,fraction
Gi_7EW1,Gi,Gi/o,TM7-TM1,0.663,0.59,0.725,3,0.725,0.59,0.675,fraction
Gi_7EW4,Gi,Gi/o,TM1-TM2,0.418,0.335,0.55,3,0.37,0.335,0.55,fraction
Gi_7EW4,Gi,Gi/o,TM2-TM3,0.01,0.0,0.015,3,0.0,0.015,0.015,fraction
Gi_7EW4,Gi,Gi/o,TM3-TM4,0.398,0.315,0.49,3,0.49,0.39,0.315,fraction
Gi_7EW4,Gi,Gi/o,TM4-TM5,0.163,0.14,0.175,3,0.14,0.175,0.175,fraction
Gi_7EW4,Gi,Gi/o,TM5-TM6,0.127,0.095,0.185,3,0.1,0.095,0.185,fraction
Gi_7EW4,Gi,Gi/o,TM6-TM7,0.022,0.005,0.035,3,0.035,0.005,0.025,fraction
Gi_7EW4,Gi,Gi/o,TM7-TM1,0.45,0.335,0.535,3,0.535,0.48,0.335,fraction
Gi_7EXD,Gi,Gi/o,TM1-TM2,0.22,0.14,0.27,3,0.27,0.14,0.25,fraction
Gi_7EXD,Gi,Gi/o,TM2-TM3,0.003,0.0,0.005,3,0.005,0.0,0.005,fraction
Gi_7EXD,Gi,Gi/o,TM3-TM4,0.458,0.41,0.54,3,0.54,0.41,0.425,fraction
Gi_7EXD,Gi,Gi/o,TM4-TM5,0.108,0.095,0.12,3,0.12,0.11,0.095,fraction
Gi_7EXD,Gi,Gi/o,TM5-TM6,0.047,0.01,0.07,3,0.06,0.01,0.07,fraction
Gi_7EXD,Gi,Gi/o,TM6-TM7,0.195,0.085,0.275,3,0.225,0.085,0.275,fraction
Gi_7EXD,Gi,Gi/o,TM7-TM1,0.532,0.435,0.68,3,0.435,0.68,0.48,fraction
Gi_7EZH,Gi,Gi/o,TM1-TM2,0.402,0.175,0.64,3,0.39,0.175,0.64,fraction
Gi_7EZH,Gi,Gi/o,TM2-TM3,0.003,0.0,0.005,3,0.005,0.0,0.005,fraction
Gi_7EZH,Gi,Gi/o,TM3-TM4,0.38,0.245,0.465,3,0.465,0.245,0.43,fraction
Gi_7EZH,Gi,Gi/o,TM4-TM5,0.07,0.03,0.105,3,0.105,0.03,0.075,fraction
Gi_7EZH,Gi,Gi/o,TM5-TM6,0.342,0.285,0.445,3,0.285,0.295,0.445,fraction
Gi_7EZH,Gi,Gi/o,TM6-TM7,0.102,0.01,0.24,3,0.24,0.01,0.055,fraction
Gi_7EZH,Gi,Gi/o,TM7-TM1,0.535,0.435,0.63,3,0.63,0.54,0.435,fraction
Gi_7F1Q,Gi,Gi/o,TM1-TM2,0.002,0.0,0.005,3,0.0,0.005,0.0,fraction
Gi_7F1Q,Gi,Gi/o,TM2-TM3,0.0,0.0,0.0,3,0.0,0.0,0.0,fraction
Gi_7F1Q,Gi,Gi/o,TM3-TM4,0.79,0.75,0.81,3,0.81,0.75,0.81,fraction
Gi_7F1Q,Gi,Gi/o,TM4-TM5,0.45,0.38,0.485,3,0.485,0.38,0.485,fraction
Gi_7F1Q,Gi,Gi/o,TM5-TM6,0.082,0.075,0.085,3,0.085,0.075,0.085,fraction
Gi_7F1Q,Gi,Gi/o,TM6-TM7,0.178,0.025,0.255,3,0.255,0.025,0.255,fraction
Gi_7F1Q,Gi,Gi/o,TM7-TM1,0.367,0.315,0.47,3,0.315,0.47,0.315,fraction
Gi_7F8V,Gi,Gi/o,TM1-TM2,0.452,0.23,0.6,3,0.23,0.525,0.6,fraction
Gi_7F8V,Gi,Gi/o,TM2-TM3,0.0,0.0,0.0,3,0.0,0.0,0.0,fraction
Gi_7F8V,Gi,Gi/o,TM3-TM4,0.623,0.445,0.9,3,0.525,0.9,0.445,fraction
Gi_7F8V,Gi,Gi/o,TM4-TM5,0.353,0.14,0.775,3,0.14,0.775,0.145,fraction
Gi_7F8V,Gi,Gi/o,TM5-TM6,0.078,0.06,0.105,3,0.07,0.105,0.06,fraction
Gi_7F8V,Gi,Gi/o,TM6-TM7,0.077,0.045,0.12,3,0.12,0.065,0.045,fraction
Gi_7F8V,Gi,Gi/o,TM7-TM1,0.635,0.62,0.65,3,0.635,0.62,0.65,fraction
Gi_7NA7,Gi,Gi/o,TM1-TM2,0.09,0.05,0.17,3,0.05,0.17,0.05,fraction
Gi_7NA7,Gi,Gi/o,TM2-TM3,0.002,0.0,0.005,3,0.005,0.0,0.0,fraction
Gi_7NA7,Gi,Gi/o,TM3-TM4,0.232,0.115,0.395,3,0.115,0.185,0.395,fraction
Gi_7NA7,Gi,Gi/o,TM4-TM5,0.17,0.11,0.28,3,0.11,0.12,0.28,fraction
Gi_7NA7,Gi,Gi/o,TM5-TM6,0.343,0.21,0.48,3,0.21,0.34,0.48,fraction
Gi_7NA7,Gi,Gi/o,TM6-TM7,0.195,0.015,0.525,3,0.015,0.045,0.525,fraction
Gi_7NA7,Gi,Gi/o,TM7-TM1,0.463,0.38,0.51,3,0.38,0.51,0.5,fraction
Gi_7QVM,Gi,Gi/o,TM1-TM2,0.122,0.005,0.35,3,0.005,0.35,0.01,fraction
Gi_7QVM,Gi,Gi/o,TM2-TM3,0.007,0.0,0.015,3,0.015,0.0,0.005,fraction
Gi_7QVM,Gi,Gi/o,TM3-TM4,0.937,0.87,0.98,3,0.98,0.96,0.87,fraction
Gi_7QVM,Gi,Gi/o,TM4-TM5,0.142,0.085,0.17,3,0.085,0.17,0.17,fraction
Gi_7QVM,Gi,Gi/o,TM5-TM6,0.092,0.025,0.155,3,0.025,0.095,0.155,fraction
Gi_7QVM,Gi,Gi/o,TM6-TM7,0.297,0.15,0.485,3,0.485,0.255,0.15,fraction
Gi_7QVM,Gi,Gi/o,TM7-TM1,0.56,0.41,0.655,3,0.615,0.41,0.655,fraction
Gi_7SQO,Gi,Gi/o,TM1-TM2,0.337,0.235,0.46,3,0.315,0.46,0.235,fraction
Gi_7SQO,Gi,Gi/o,TM2-TM3,0.0,0.0,0.0,3,0.0,0.0,0.0,fraction
Gi_7SQO,Gi,Gi/o,TM3-TM4,0.702,0.67,0.75,3,0.685,0.67,0.75,fraction
Gi_7SQO,Gi,Gi/o,TM4-TM5,0.312,0.29,0.34,3,0.29,0.305,0.34,fraction
Gi_7SQO,Gi,Gi/o,TM5-TM6,0.0,0.0,0.0,3,0.0,0.0,0.0,fraction
Gi_7SQO,Gi,Gi/o,TM6-TM7,0.005,0.0,0.01,3,0.0,0.01,0.005,fraction
Gi_7SQO,Gi,Gi/o,TM7-TM1,0.342,0.265,0.42,3,0.265,0.42,0.34,fraction
Gi_7T10,Gi,Gi/o,TM1-TM2,0.132,0.06,0.185,3,0.06,0.15,0.185,fraction
Gi_7T10,Gi,Gi/o,TM2-TM3,0.002,0.0,0.005,3,0.0,0.0,0.005,fraction
Gi_7T10,Gi,Gi/o,TM3-TM4,0.537,0.36,0.625,3,0.36,0.625,0.625,fraction
Gi_7T10,Gi,Gi/o,TM4-TM5,0.105,0.055,0.165,3,0.055,0.095,0.165,fraction
Gi_7T10,Gi,Gi/o,TM5-TM6,0.39,0.365,0.42,3,0.385,0.365,0.42,fraction
Gi_7T10,Gi,Gi/o,TM6-TM7,0.065,0.045,0.095,3,0.055,0.095,0.045,fraction
Gi_7T10,Gi,Gi/o,TM7-TM1,0.582,0.485,0.67,3,0.59,0.485,0.67,fraction
Gi_7T96,Gi,Gi/o,TM1-TM2,0.217,0.16,0.245,3,0.16,0.245,0.245,fraction
Gi_7T96,Gi,Gi/o,TM2-TM3,0.067,0.005,0.105,3,0.005,0.105,0.09,fraction
Gi_7T96,Gi,Gi/o,TM3-TM4,0.262,0.225,0.3,3,0.26,0.225,0.3,fraction
Gi_7T96,Gi,Gi/o,TM4-TM5,0.128,0.095,0.15,3,0.095,0.14,0.15,fraction
Gi_7T96,Gi,Gi/o,TM5-TM6,0.098,0.02,0.21,3,0.065,0.02,0.21,fraction
Gi_7T96,Gi,Gi/o,TM6-TM7,0.133,0.04,0.23,3,0.13,0.04,0.23,fraction
Gi_7T96,Gi,Gi/o,TM7-TM1,0.82,0.785,0.845,3,0.845,0.785,0.83,fraction
Gi_7TS0,Gi,Gi/o,TM1-TM2,0.03,0.0,0.075,3,0.075,0.0,0.015,fraction
Gi_7TS0,Gi,Gi/o,TM2-TM3,0.0,0.0,0.0,3,0.0,0.0,0.0,fraction
Gi_7TS0,Gi,Gi/o,TM3-TM4,0.455,0.385,0.58,3,0.4,0.58,0.385,fraction
Gi_7TS0,Gi,Gi/o,TM4-TM5,0.102,0.085,0.125,3,0.095,0.125,0.085,fraction
Gi_7TS0,Gi,Gi/o,TM5-TM6,0.11,0.07,0.19,3,0.07,0.19,0.07,fraction
Gi_7TS0,Gi,Gi/o,TM6-TM7,0.102,0.045,0.145,3,0.045,0.145,0.115,fraction
Gi_7TS0,Gi,Gi/o,TM7-TM1,0.002,0.0,0.005,3,0.005,0.0,0.0,fraction
Gi_7TUZ,Gi,Gi/o,TM1-TM2,0.053,0.015,0.105,3,0.015,0.04,0.105,fraction
Gi_7TUZ,Gi,Gi/o,TM2-TM3,0.0,0.0,0.0,3,0.0,0.0,0.0,fraction
Gi_7TUZ,Gi,Gi/o,TM3-TM4,0.468,0.44,0.515,3,0.44,0.45,0.515,fraction
Gi_7TUZ,Gi,Gi/o,TM4-TM5,0.302,0.225,0.41,3,0.27,0.41,0.225,fraction
Gi_7TUZ,Gi,Gi/o,TM5-TM6,0.11,0.075,0.175,3,0.175,0.08,0.075,fraction
Gi_7TUZ,Gi,Gi/o,TM6-TM7,0.073,0.05,0.1,3,0.07,0.1,0.05,fraction
Gi_7TUZ,Gi,Gi/o,TM7-TM1,0.402,0.295,0.545,3,0.365,0.545,0.295,fraction
Gi_7VDL,Gi,Gi/o,TM1-TM2,0.013,0.0,0.02,3,0.02,0.0,0.02,fraction
Gi_7VDL,Gi,Gi/o,TM2-TM3,0.0,0.0,0.0,3,0.0,0.0,0.0,fraction
Gi_7VDL,Gi,Gi/o,TM3-TM4,0.17,0.05,0.23,3,0.23,0.05,0.23,fraction
Gi_7VDL,Gi,Gi/o,TM4-TM5,0.093,0.04,0.12,3,0.12,0.04,0.12,fraction
Gi_7VDL,Gi,Gi/o,TM5-TM6,0.497,0.46,0.515,3,0.515,0.46,0.515,fraction
Gi_7VDL,Gi,Gi/o,TM6-TM7,0.012,0.005,0.015,3,0.015,0.005,0.015,fraction
Gi_7VDL,Gi,Gi/o,TM7-TM1,0.36,0.32,0.38,3,0.38,0.32,0.38,fraction
Gi_7VGZ,Gi,Gi/o,TM1-TM2,0.008,0.005,0.01,3,0.01,0.01,0.005,fraction
Gi_7VGZ,Gi,Gi/o,TM2-TM3,0.002,0.0,0.005,3,0.0,0.005,0.0,fraction
Gi_7VGZ,Gi,Gi/o,TM3-TM4,0.628,0.415,0.865,3,0.865,0.605,0.415,fraction
Gi_7VGZ,Gi,Gi/o,TM4-TM5,0.378,0.205,0.525,3,0.525,0.405,0.205,fraction
Gi_7VGZ,Gi,Gi/o,TM5-TM6,0.005,0.0,0.01,3,0.01,0.0,0.005,fraction
Gi_7VGZ,Gi,Gi/o,TM6-TM7,0.265,0.18,0.345,3,0.345,0.27,0.18,fraction
Gi_7VGZ,Gi,Gi/o,TM7-TM1,0.495,0.16,0.73,3,0.595,0.73,0.16,fraction
Gi_7VH0,Gi,Gi/o,TM1-TM2,0.158,0.035,0.355,3,0.085,0.355,0.035,fraction
Gi_7VH0,Gi,Gi/o,TM2-TM3,0.003,0.0,0.005,3,0.0,0.005,0.005,fraction
Gi_7VH0,Gi,Gi/o,TM3-TM4,0.38,0.2,0.68,3,0.68,0.26,0.2,fraction
Gi_7VH0,Gi,Gi/o,TM4-TM5,0.112,0.08,0.13,3,0.13,0.125,0.08,fraction
Gi_7VH0,Gi,Gi/o,TM5-TM6,0.102,0.015,0.24,3,0.24,0.05,0.015,fraction
Gi_7VH0,Gi,Gi/o,TM6-TM7,0.0,0.0,0.0,3,0.0,0.0,0.0,fraction
Gi_7VH0,Gi,Gi/o,TM7-TM1,0.393,0.355,0.425,3,0.4,0.425,0.355,fraction
Gi_7VIF,Gi,Gi/o,TM1-TM2,0.188,0.095,0.27,3,0.27,0.2,0.095,fraction
Gi_7VIF,Gi,Gi/o,TM2-TM3,0.0,0.0,0.0,3,0.0,0.0,0.0,fraction
Gi_7VIF,Gi,Gi/o,TM3-TM4,0.62,0.545,0.675,3,0.64,0.675,0.545,fraction
Gi_7VIF,Gi,Gi/o,TM4-TM5,0.063,0.02,0.105,3,0.02,0.065,0.105,fraction
Gi_7VIF,Gi,Gi/o,TM5-TM6,0.143,0.04,0.34,3,0.04,0.05,0.34,fraction
Gi_7VIF,Gi,Gi/o,TM6-TM7,0.002,0.0,0.005,3,0.005,0.0,0.0,fraction
Gi_7VIF,Gi,Gi/o,TM7-TM1,0.413,0.37,0.495,3,0.495,0.37,0.375,fraction
Gi_7VKT,Gi,Gi/o,TM1-TM2,0.012,0.0,0.025,3,0.0,0.025,0.01,fraction
Gi_7VKT,Gi,Gi/o,TM2-TM3,0.0,0.0,0.0,3,0.0,0.0,0.0,fraction
Gi_7VKT,Gi,Gi/o,TM3-TM4,0.153,0.13,0.175,3,0.155,0.13,0.175,fraction
Gi_7VKT,Gi,Gi/o,TM4-TM5,0.028,0.02,0.04,3,0.02,0.04,0.025,fraction
Gi_7VKT,Gi,Gi/o,TM5-TM6,0.005,0.0,0.01,3,0.0,0.005,0.01,fraction
Gi_7VKT,Gi,Gi/o,TM6-TM7,0.042,0.015,0.065,3,0.045,0.065,0.015,fraction
Gi_7VKT,Gi,Gi/o,TM7-TM1,0.422,0.345,0.47,3,0.47,0.345,0.45,fraction
Gi_7VL9,Gi,Gi/o,TM1-TM2,0.05,0.01,0.09,3,0.09,0.01,0.05,fraction
Gi_7VL9,Gi,Gi/o,TM2-TM3,0.0,0.0,0.0,3,0.0,0.0,0.0,fraction
Gi_7VL9,Gi,Gi/o,TM3-TM4,0.543,0.41,0.63,3,0.59,0.41,0.63,fraction
Gi_7VL9,Gi,Gi/o,TM4-TM5,0.357,0.205,0.475,3,0.475,0.205,0.39,fraction
Gi_7VL9,Gi,Gi/o,TM5-TM6,0.085,0.025,0.175,3,0.175,0.055,0.025,fraction
Gi_7VL9,Gi,Gi/o,TM6-TM7,0.053,0.04,0.065,3,0.065,0.055,0.04,fraction
Gi_7VL9,Gi,Gi/o,TM7-TM1,0.323,0.175,0.53,3,0.53,0.175,0.265,fraction
Gi_7W0N,Gi,Gi/o,TM1-TM2,0.083,0.0,0.145,3,0.105,0.145,0.0,fraction
Gi_7W0N,Gi,Gi/o,TM2-TM3,0.015,0.0,0.025,3,0.02,0.025,0.0,fraction
Gi_7W0N,Gi,Gi/o,TM3-TM4,0.482,0.45,0.53,3,0.45,0.53,0.465,fraction
Gi_7W0N,Gi,Gi/o,TM4-TM5,0.137,0.12,0.155,3,0.155,0.135,0.12,fraction
Gi_7W0N,Gi,Gi/o,TM5-TM6,0.082,0.04,0.135,3,0.135,0.04,0.07,fraction
